question_id,option,cx,cy,score,ink_ratio,mean_darkness,strong_dark_ratio,component_area_ratio,state
1,1,98.21875,305.8636363636364,0.027866,0.0,0.092885,0.0,0.0,empty
1,2,125.5,304.0,0.020947,0.0,0.069823,0.0,0.0,empty
1,3,148.83333333333334,305.8636363636364,0.055849,0.047619,0.114734,0.0,0.038095,empty
1,4,175.0,304.5,0.021961,0.0,0.073203,0.0,0.0,empty
2,1,99.0,324.5,0.021324,0.0,0.071078,0.0,0.0,empty
2,2,123.78125,326.38461538461536,0.053793,0.019048,0.134865,0.019048,0.0,empty
2,3,148.83333333333334,326.38461538461536,0.066818,0.047619,0.119552,0.038095,0.047619,empty
2,4,175.0,325.0,0.030636,0.0,0.102121,0.0,0.0,empty
3,1,99.5,344.5,0.036088,0.016667,0.095294,0.0,0.0,empty
3,2,124.5,345.0,0.016499,0.0,0.054998,0.0,0.0,empty
3,3,148.83333333333334,346.1818181818182,0.515675,0.752381,0.566536,0.028571,0.72381,candidate_marked
3,4,175.0,345.5,0.020768,0.0,0.069227,0.0,0.0,empty
4,1,98.21875,366.59090909090907,0.515182,0.761905,0.558543,0.019048,0.761905,candidate_marked
4,2,123.78125,366.59090909090907,0.084207,0.066667,0.133072,0.057143,0.057143,empty
4,3,149.0,365.0,0.011118,0.0,0.037059,0.0,0.0,empty
4,4,175.0,363.5,0.060373,0.047619,0.129816,0.0,0.0,empty
5,1,98.21875,387.6363636363636,0.09242,0.085714,0.179496,0.0,0.0,empty
5,2,123.78125,387.6363636363636,0.110151,0.085714,0.183044,0.066667,0.0,faint_trace_or_erased
5,3,148.5,385.0,0.615696,0.883333,0.616209,0.133333,0.883333,candidate_marked
5,4,175.0,386.0,0.026939,0.0,0.089796,0.0,0.0,empty
6,1,98.5,405.5,0.352605,0.409524,0.521382,0.047619,0.295238,candidate_marked
6,2,125.0,405.5,0.100952,0.095238,0.140741,0.063492,0.047619,faint_trace_or_erased
6,3,149.5,405.0,0.11744,0.104762,0.154958,0.095238,0.0,faint_trace_or_erased
6,4,175.0,406.5,0.080106,0.066667,0.119402,0.057143,0.038095,empty
7,1,98.5,426.5,0.029681,0.0,0.098936,0.0,0.0,empty
7,2,124.0,427.5,0.085154,0.055556,0.154217,0.055556,0.0,empty
7,3,151.0,426.0,0.100583,0.07619,0.173371,0.057143,0.057143,faint_trace_or_erased
7,4,175.0,428.0,0.090448,0.066667,0.153875,0.057143,0.0,empty
8,1,99.0,447.0,0.421714,0.533333,0.542222,0.07619,0.428571,candidate_marked
8,2,124.0,447.0,0.007131,0.0,0.02377,0.0,0.0,empty
8,3,148.83333333333334,448.3181818181818,0.010801,0.0,0.036004,0.0,0.0,empty
8,4,174.5,447.5,0.009039,0.0,0.030131,0.0,0.0,empty
